DateTime (UTC), magX, magY, magZ
2015-10-27 01:27:05.915970,74,140,-225
2015-10-27 01:27:20.038778,70,138,-215
2015-10-27 01:27:34.177587,71,137,-211
2015-10-27 01:27:48.300395,78,136,-208
2015-10-27 01:28:02.439203,77,137,-190
2015-10-27 01:28:16.577012,76,140,-226
2015-10-27 01:28:30.700820,73,142,-206
2015-10-27 01:28:44.838628,69,146,-236
2015-10-27 01:28:58.961436,77,143,-198
2015-10-27 01:29:13.100245,73,140,-214
2015-10-27 01:29:27.223053,75,139,-216
2015-10-27 01:29:41.361861,76,140,-206
2015-10-27 01:29:55.485669,80,136,-187
2015-10-27 01:30:09.623478,74,141,-232
2015-10-27 01:30:23.747286,75,138,-209
2015-10-27 01:30:37.885094,74,138,-229
2015-10-27 01:30:52.008902,82,134,-196
2015-10-27 01:31:06.146711,82,135,-206
2015-10-27 01:31:20.270519,81,137,-213
2015-10-27 01:31:34.408327,80,136,-199
2015-10-27 01:31:48.532135,80,139,-182
2015-10-27 01:32:02.669944,79,139,-202
2015-10-27 01:32:16.793751,80,138,-211
2015-10-27 01:32:30.931560,81,139,-205
2015-10-27 01:32:45.070369,76,141,-201
2015-10-27 01:32:59.193177,78,134,-211
2015-10-27 01:33:13.330985,81,136,-199
2015-10-27 01:33:27.454793,80,135,-205
2015-10-27 01:33:41.592602,80,135,-195
2015-10-27 01:33:55.716410,78,136,-207
2015-10-27 01:34:09.855218,87,135,-182
2015-10-27 01:34:23.978026,88,131,-168
2015-10-27 01:34:38.116835,83,135,-202
2015-10-27 01:34:52.239642,76,135,-220
2015-10-27 01:35:06.378451,79,137,-219
2015-10-27 01:35:20.501259,82,134,-218
2015-10-27 01:35:34.640068,85,132,-198
2015-10-27 01:35:48.762875,82,139,-211
2015-10-27 01:36:02.901684,78,139,-229
2015-10-27 01:36:17.039493,87,135,-176
2015-10-27 01:36:31.163301,78,138,-236
2015-10-27 01:36:45.301109,80,137,-250
2015-10-27 01:36:59.424917,93,133,-159
2015-10-27 01:37:13.562726,87,135,-184
2015-10-27 01:37:27.685533,86,136,-186
2015-10-27 01:37:41.824342,81,135,-216
2015-10-27 01:37:55.947150,85,136,-200
2015-10-27 01:38:10.085959,85,137,-208
2015-10-27 01:38:24.209766,82,134,-192
2015-10-27 01:38:38.347575,86,137,-203
2015-10-27 01:38:52.471383,88,133,-192
2015-10-27 01:39:06.609192,88,130,-177
2015-10-27 01:39:20.732999,86,132,-179
2015-10-27 01:39:34.870808,85,139,-194
2015-10-27 01:39:48.994616,88,131,-172
2015-10-27 01:40:03.132425,83,131,-195
2015-10-27 01:40:17.256232,85,133,-201
2015-10-27 01:40:31.394041,84,134,-196
2015-10-27 01:40:45.532850,82,134,-209
2015-10-27 01:40:59.655657,84,133,-207
2015-10-27 01:41:13.794466,85,135,-223
2015-10-27 01:41:27.917274,81,133,-198
2015-10-27 01:41:42.056083,78,133,-227
2015-10-27 01:41:56.178890,84,132,-193
2015-10-27 01:42:10.317699,83,131,-208
2015-10-27 01:42:24.440507,86,131,-185
2015-10-27 01:42:38.579316,83,135,-201
2015-10-27 01:42:52.702123,80,138,-212
2015-10-27 01:43:06.840932,90,134,-180
2015-10-27 01:43:20.963740,89,135,-184
2015-10-27 01:43:35.102549,85,133,-190
2015-10-27 01:43:49.225356,85,134,-207
2015-10-27 01:44:03.364165,85,136,-232
2015-10-27 01:44:17.486973,82,139,-222
2015-10-27 01:44:31.625781,91,137,-198
2015-10-27 01:44:45.763590,89,138,-172
2015-10-27 01:44:59.887398,87,134,-203
2015-10-27 01:45:14.025207,88,133,-195
2015-10-27 01:45:28.149014,96,129,-163
2015-10-27 01:45:42.286823,85,131,-196
2015-10-27 01:45:56.410631,81,135,-226
2015-10-27 01:46:10.548440,91,132,-170
2015-10-27 01:46:24.672247,87,132,-191
2015-10-27 01:46:38.810056,94,129,-150
2015-10-27 01:46:52.933864,91,135,-202
2015-10-27 01:47:07.072673,89,134,-188
2015-10-27 01:47:21.195480,90,131,-190
2015-10-27 01:47:35.333289,90,134,-197
2015-10-27 01:47:49.457097,95,132,-171
2015-10-27 01:48:03.595905,88,131,-215
2015-10-27 01:48:17.718713,89,131,-201
2015-10-27 01:48:31.857522,98,127,-176
2015-10-27 01:48:45.980330,91,133,-212
2015-10-27 01:49:00.119138,83,137,-259
2015-10-27 01:49:14.256947,88,136,-205
2015-10-27 01:49:28.380755,91,131,-200
2015-10-27 01:49:42.518564,97,127,-170
2015-10-27 01:49:56.642371,98,126,-165
2015-10-27 01:50:10.780180,93,132,-178
2015-10-27 01:50:24.903988,91,127,-183
2015-10-27 01:50:39.041796,95,132,-161
2015-10-27 01:50:53.165604,91,133,-199
2015-10-27 01:51:07.303413,90,128,-179
2015-10-27 01:51:21.427221,94,128,-173
2015-10-27 01:51:35.565029,92,130,-182
2015-10-27 01:51:49.688837,96,128,-147
2015-10-27 01:52:03.826646,93,128,-172
2015-10-27 01:52:17.950454,95,127,-155
2015-10-27 01:52:32.089262,95,129,-174
2015-10-27 01:52:46.227071,93,132,-184
2015-10-27 01:53:00.350879,92,131,-187
2015-10-27 01:53:14.488688,89,130,-210
2015-10-27 01:53:28.612495,94,131,-175
2015-10-27 01:53:42.750304,98,120,-157
2015-10-27 01:53:56.874112,99,126,-168
2015-10-27 01:54:11.011920,90,127,-182
2015-10-27 01:54:25.135728,93,128,-187
2015-10-27 01:54:39.273537,90,132,-188
2015-10-27 01:54:53.397345,92,131,-209
2015-10-27 01:55:07.535153,95,131,-201
2015-10-27 01:55:21.658961,91,133,-203
2015-10-27 01:55:35.796770,94,128,-190
2015-10-27 01:55:49.920578,98,131,-159
2015-10-27 01:56:04.058386,93,129,-197
2015-10-27 01:56:18.182194,96,127,-182
2015-10-27 01:56:32.320003,95,127,-187
2015-10-27 01:56:46.443811,90,128,-196
2015-10-27 01:57:00.581619,96,128,-176
2015-10-27 01:57:14.704427,92,128,-208
2015-10-27 01:57:28.843236,94,132,-214
2015-10-27 01:57:42.966044,97,126,-184
2015-10-27 01:57:57.104852,94,127,-197
2015-10-27 01:58:11.228660,97,128,-170
2015-10-27 01:58:25.366469,100,132,-171
2015-10-27 01:58:39.490277,96,128,-176
2015-10-27 01:58:53.628085,94,127,-192
2015-10-27 01:59:07.766894,90,128,-205
2015-10-27 01:59:21.889702,97,127,-170
2015-10-27 01:59:36.028510,93,129,-171
2015-10-27 01:59:50.151318,90,131,-199
2015-10-27 02:00:04.290127,96,128,-191
2015-10-27 02:00:18.412935,91,134,-208
2015-10-27 02:00:32.551743,98,130,-185
2015-10-27 02:00:46.674551,95,131,-192
2015-10-27 02:01:00.813360,95,133,-193
2015-10-27 02:01:14.936168,93,128,-185
2015-10-27 02:01:29.074976,95,133,-196
2015-10-27 02:01:43.197784,100,130,-169
2015-10-27 02:01:57.336593,94,132,-202
2015-10-27 02:02:11.474401,103,130,-151
2015-10-27 02:02:25.598209,100,127,-188
2015-10-27 02:02:39.736018,99,130,-168
2015-10-27 02:02:53.859826,101,129,-165
2015-10-27 02:03:07.997634,103,126,-159
2015-10-27 02:03:22.121442,99,133,-166
2015-10-27 02:03:36.259251,102,130,-164
2015-10-27 02:03:50.383059,102,124,-159
2015-10-27 02:04:04.520867,100,131,-172
2015-10-27 02:04:18.644675,102,127,-137
2015-10-27 02:04:32.782484,100,133,-180
2015-10-27 02:04:46.906292,101,130,-175
2015-10-27 02:05:01.045100,98,128,-188
2015-10-27 02:05:15.167908,103,128,-151
2015-10-27 02:05:29.306717,101,133,-170
2015-10-27 02:05:43.429524,100,129,-167
2015-10-27 02:05:57.568333,106,125,-146
2015-10-27 02:06:11.706142,104,125,-153
2015-10-27 02:06:25.829950,104,126,-162
2015-10-27 02:06:39.968758,104,130,-146
2015-10-27 02:06:54.091566,97,131,-189
2015-10-27 02:07:08.230375,103,135,-153
2015-10-27 02:07:22.353183,103,126,-162
2015-10-27 02:07:36.491991,103,130,-159
2015-10-27 02:07:50.614799,103,129,-188
2015-10-27 02:08:04.753608,102,130,-173
2015-10-27 02:08:18.876416,107,121,-144
2015-10-27 02:08:33.015224,104,126,-161
2015-10-27 02:08:47.138032,101,131,-169
2015-10-27 02:09:01.276841,100,126,-183
2015-10-27 02:09:15.399648,113,123,-129
2015-10-27 02:09:29.538457,103,128,-169
2015-10-27 02:09:43.661265,109,127,-136
2015-10-27 02:09:57.800074,101,129,-161
2015-10-27 02:10:11.938882,103,124,-170
2015-10-27 02:10:26.061690,105,126,-153
2015-10-27 02:10:40.200499,105,124,-163
2015-10-27 02:10:54.323307,108,125,-167
2015-10-27 02:11:08.462115,102,128,-196
2015-10-27 02:11:22.584923,102,127,-181
2015-10-27 02:11:36.723732,96,132,-203
2015-10-27 02:11:50.846540,100,123,-191
2015-10-27 02:12:04.985348,101,128,-185
2015-10-27 02:12:19.108156,102,122,-172
2015-10-27 02:12:33.246965,92,128,-229
2015-10-27 02:12:47.369772,99,125,-192
2015-10-27 02:13:01.508581,98,124,-204
2015-10-27 02:13:15.631389,102,124,-168
2015-10-27 02:13:29.770198,103,127,-190
2015-10-27 02:13:43.893005,104,124,-188
2015-10-27 02:13:58.031814,108,123,-172
2015-10-27 02:14:12.154622,104,128,-210
2015-10-27 02:14:26.293431,104,125,-188
2015-10-27 02:14:40.416238,105,127,-179
2015-10-27 02:14:54.555047,102,130,-187
2015-10-27 02:15:08.692856,104,129,-207
2015-10-27 02:15:22.816664,107,127,-180
2015-10-27 02:15:36.955472,111,124,-190
2015-10-27 02:15:51.078280,104,127,-192
2015-10-27 02:16:05.217089,103,129,-199
2015-10-27 02:16:19.339896,103,132,-195
2015-10-27 02:16:33.477705,105,132,-206
2015-10-27 02:16:47.601513,108,125,-170
2015-10-27 02:17:01.739322,101,128,-213
2015-10-27 02:17:15.863129,110,125,-176
2015-10-27 02:17:30.000938,112,126,-175
2015-10-27 02:17:44.124746,108,127,-185
2015-10-27 02:17:58.262555,108,129,-175
2015-10-27 02:18:12.401363,112,128,-171
2015-10-27 02:18:26.524171,114,125,-130
2015-10-27 02:18:40.662980,113,128,-153
2015-10-27 02:18:54.785787,109,130,-181
2015-10-27 02:19:08.924596,108,126,-180
2015-10-27 02:19:23.047404,107,124,-192
2015-10-27 02:19:37.186213,108,128,-187
2015-10-27 02:19:51.309020,112,129,-189
2015-10-27 02:20:05.447829,105,129,-201
2015-10-27 02:20:19.571637,110,125,-159
2015-10-27 02:20:33.709446,108,130,-177
2015-10-27 02:20:47.833253,102,130,-197
2015-10-27 02:21:01.971062,112,124,-146
2015-10-27 02:21:16.109871,109,127,-175
2015-10-27 02:21:30.232679,106,126,-167
2015-10-27 02:21:44.371487,109,117,-160
2015-10-27 02:21:58.494295,107,132,-183
2015-10-27 02:22:12.633104,108,128,-182
2015-10-27 02:22:26.755911,110,130,-165
2015-10-27 02:22:40.894720,105,133,-188
