DateTime (UTC), magX, magY, magZ
2015-10-24 03:31:01.148469,74,-222,-210
2015-10-24 03:31:15.270277,74,-222,-218
2015-10-24 03:31:29.408086,75,-224,-205
2015-10-24 03:31:43.544894,69,-221,-215
2015-10-24 03:31:57.681703,71,-222,-210
2015-10-24 03:32:11.803511,80,-223,-210
2015-10-24 03:32:25.941319,77,-227,-214
2015-10-24 03:32:40.078128,75,-221,-211
2015-10-24 03:32:54.199936,77,-223,-224
2015-10-24 03:33:08.336744,75,-222,-217
2015-10-24 03:33:22.474553,73,-223,-215
2015-10-24 03:33:36.596361,76,-221,-220
2015-10-24 03:33:50.733169,70,-218,-216
2015-10-24 03:34:04.870978,72,-220,-215
2015-10-24 03:34:19.007786,72,-230,-210
2015-10-24 03:34:33.129594,72,-225,-215
2015-10-24 03:34:47.266403,66,-225,-217
2015-10-24 03:35:01.404211,72,-226,-213
2015-10-24 03:35:15.526019,65,-227,-218
2015-10-24 03:35:29.662828,69,-220,-227
2015-10-24 03:35:43.800636,71,-225,-213
2015-10-24 03:35:57.922444,71,-221,-222
2015-10-24 03:36:12.059253,66,-217,-216
2015-10-24 03:36:26.197061,69,-218,-222
2015-10-24 03:36:40.318869,72,-217,-218
2015-10-24 03:36:54.455677,74,-224,-220
2015-10-24 03:37:08.592486,68,-230,-223
2015-10-24 03:37:22.714294,69,-223,-217
2015-10-24 03:37:36.851102,70,-225,-229
2015-10-24 03:37:50.987911,68,-230,-218
2015-10-24 03:38:05.125720,58,-219,-246
2015-10-24 03:38:19.246527,64,-229,-227
2015-10-24 03:38:33.383336,70,-228,-220
2015-10-24 03:38:47.520144,58,-216,-235
2015-10-24 03:39:01.655953,65,-227,-224
2015-10-24 03:39:15.777761,63,-224,-223
2015-10-24 03:39:29.914569,61,-221,-245
2015-10-24 03:39:44.052378,68,-229,-233
2015-10-24 03:39:58.173186,64,-228,-234
2015-10-24 03:40:12.309994,70,-233,-230
2015-10-24 03:40:26.446803,67,-226,-226
2015-10-24 03:40:40.582611,66,-224,-226
2015-10-24 03:40:54.703419,54,-210,-253
2015-10-24 03:41:08.840227,66,-233,-216
2015-10-24 03:41:22.976036,64,-229,-215
2015-10-24 03:41:37.112845,70,-226,-216
2015-10-24 03:41:51.233652,61,-222,-222
2015-10-24 03:42:05.370461,69,-231,-221
2015-10-24 03:42:19.507269,65,-221,-226
2015-10-24 03:42:33.644078,67,-228,-227
2015-10-24 03:42:47.765886,74,-223,-222
2015-10-24 03:43:01.902694,74,-225,-224
2015-10-24 03:43:16.040503,73,-228,-222
2015-10-24 03:43:30.162311,75,-228,-228
2015-10-24 03:43:44.300119,68,-219,-225
2015-10-24 03:43:58.436928,73,-229,-224
2015-10-24 03:44:12.558736,71,-224,-220
2015-10-24 03:44:26.696544,73,-224,-218
2015-10-24 03:44:40.833353,71,-220,-222
2015-10-24 03:44:54.955160,74,-224,-226
2015-10-24 03:45:09.091969,76,-223,-233
2015-10-24 03:45:23.229778,73,-228,-215
2015-10-24 03:45:37.350585,76,-224,-222
2015-10-24 03:45:51.488394,76,-226,-211
2015-10-24 03:46:05.625203,77,-227,-213
2015-10-24 03:46:19.763011,76,-222,-217
2015-10-24 03:46:33.884819,74,-227,-209
2015-10-24 03:46:48.022628,78,-228,-212
2015-10-24 03:47:02.159436,74,-231,-221
